epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,lr
1,0.3622018474340439,0.5078971562336903,0.38325657493934284,0.7358300257216815,0.23705466742502174,0.5820657353784731,9.939057285945933e-05
2,0.3092558528076519,0.5102864874868976,0.46957760205286175,0.7371570278018011,0.306828757003779,0.5837281784279669,9.757729755661012e-05
3,0.26743032986467535,0.5041441893091008,0.5610426691089082,0.7264607408539189,0.38989527838290866,0.5704266559799902,9.460482294732422e-05
4,0.2743251336975531,0.49877772647507335,0.5753179700737027,0.7213076024275155,0.40382201641405313,0.5640978266523574,9.054634122155992e-05
5,0.26124776569279756,0.7928864517990424,0.5483053173866413,0.6603089486790559,0.3777001624057592,0.4928815102765681,8.550178566873411e-05
6,0.26125878046859397,0.5217194167935119,0.5962936962298556,0.7041212964309532,0.4247994716760204,0.5433543235888609,7.959536998847744e-05
7,0.25064032944765957,0.3691652523619788,0.5877565696742189,0.7945138311598209,0.41618644282780215,0.6590816648889894,7.297252973710758e-05
8,0.25225539099086414,0.3590067868330041,0.6365182450246799,0.800277546509252,0.4668329757270587,0.667052237107635,6.579634122155991e-05
9,0.2402674267779697,0.37771712030683247,0.6478745017124319,0.7698412925137124,0.4791526397016765,0.625806481577345,5.824350601949144e-05
10,0.24600902289152146,0.3622752066169466,0.6549838085589795,0.7752287124088802,0.48697094706142185,0.6329579410157594,5.050000000000001e-05
11,0.24091844348744912,0.4648157820409658,0.6053236020689781,0.7217904147582717,0.4340244109436183,0.564688626256694,4.275649398050859e-05
12,0.22993631846525453,0.4435235988728854,0.6354345238611124,0.7654265711655996,0.46566803496971815,0.6199927467159878,3.520365877844011e-05
13,0.23105992276560178,0.4886310927721919,0.6532869057475574,0.7447994074666089,0.4850973147403728,0.593370822079827,2.8027470262892444e-05
14,0.22074393842707982,0.3825552244575656,0.6710818455295304,0.7940345420081791,0.5049835787644391,0.6584222928991871,2.1404630011522593e-05
15,0.22050764022903008,0.38139919967067487,0.7005269533658897,0.7944139983550715,0.5390854047957304,0.6589442787749437,1.5498214331265904e-05
16,0.2195019065385515,0.36544322785066097,0.6711409175988915,0.8038288817907522,0.5050504801353439,0.6720015803375632,1.0453658778440109e-05
17,0.21709619230844757,0.3668789188472592,0.6804023037239136,0.7896897037923759,0.5156134370679901,0.65246879768502,6.3951770526757955e-06
18,0.22276847251436926,0.337838062826468,0.6767202603732456,0.8124758023767881,0.511396222664244,0.6841762079483871,3.422702443389901e-06
19,0.22125606749545443,0.34171869316879583,0.6778751677096676,0.8092258503999371,0.5127164630403147,0.6795796252981633,1.609427140540686e-06
20,0.2260651876980608,0.3416605503583441,0.6635140774696303,0.8104022114889621,0.4964617032504163,0.681240516177586,1e-06
